t1_result,t2_result,t1p1_champion,t1p1_class,t1p2_champion,t1p2_class,t1p3_champion,t1p3_class,t1p4_champion,t1p4_class,t1p5_champion,t1p5_class,t2p1_champion,t2p1_class,t2p2_champion,t2p2_class,t2p3_champion,t2p3_class,t2p4_champion,t2p4_class,t2p5_champion,t2p5_class,t1_totalgold,t2_totalgold,t1_barons,t2_barons,t1_dragons,t2_dragons,t1_heralds,t2_heralds,t1_towers,t2_towers,t1_inhibitors,t2_inhibitors,t1_kills,t2_kills,t1_totalcs,t2_totalcs
1,0,Jax,Warrior,Bel'Veth,Warrior,Neeko,Mage,Caitlyn,Marksman,Lux,Mage,Aatrox,Warrior,Lee Sin,Warrior-Assassin,Azir,Mage,Kalista,Marksman,Renata Glasc,Support,51091,30710,1,0,2,1,0,0,10,0,2,0,21,3,786,588
1,0,Udyr,Warrior,Xin Zhao,Warrior,Azir,Mage,Kalista,Marksman,Renata Glasc,Support,K'Sante,Tank-Warrior,Nocturne,Assassin,Lux,Mage,Ziggs,Mage,Janna,Support,49451,32225,1,0,3,0,1,0,9,9,1,1,15,3,826,646
1,0,Zac,Tank-Warrior,Vi,Warrior,Azir,Mage,Senna,Marksman-Support,Maokai,Tank,Aatrox,Warrior,Xin Zhao,Warrior,Sylas,Mage-Warrior,Ezreal,Mage-Marksman,Yuumi,Support,50055,32273,0,0,3,0,1,0,10,10,2,2,21,2,817,675
1,0,Aatrox,Warrior,Jax,Warrior,Hwei,Mage,Kalista,Marksman,Nautilus,Tank-Support,Darius,Tank-Warrior,Xin Zhao,Warrior,Akali,Assassin,Lucian,Marksman,Milio,Support,51601,32965,1,0,1,1,1,0,10,10,2,2,26,7,734,571
1,0,Rumble,Mage-Warrior,Maokai,Tank,Tristana,Marksman,Lucian,Marksman,Milio,Support,Udyr,Warrior,Lee Sin,Warrior-Assassin,Azir,Mage,Kalista,Marksman,Renata Glasc,Support,47569,33183,0,0,2,1,1,0,9,9,2,2,20,3,808,676
1,0,K'Sante,Tank-Warrior,Maokai,Tank,Azir,Mage,Lucian,Marksman,Milio,Support,Ornn,Warrior,Wukong,Warrior,Orianna,Mage,Aphelios,Marksman,Lulu,Support,46837,33380,1,0,1,1,1,0,10,10,1,1,12,1,774,661
1,0,Jax,Warrior,Poppy,Tank-Warrior,Azir,Mage,Senna,Marksman-Support,Maokai,Tank,Rumble,Mage-Warrior,Xin Zhao,Warrior,Tristana,Marksman,Kalista,Marksman,Renata Glasc,Support,46246,33847,0,0,3,0,1,0,10,10,2,2,20,5,739,670
1,0,Jax,Warrior,Wukong,Warrior,Ahri,Mage,Xayah,Marksman,Rakan,Support,Gragas,Mage-Warrior,Xin Zhao,Warrior,Syndra,Mage,Varus,Marksman,Renata Glasc,Support,50761,34010,1,0,1,2,0,0,9,0,2,0,21,2,855,718
1,0,Udyr,Warrior,Vi,Warrior,Azir,Mage,Varus,Marksman,Hwei,Mage,K'Sante,Tank-Warrior,Maokai,Tank,Yone,Warrior,Kalista,Marksman,Renata Glasc,Support,47164,34356,1,0,1,2,1,0,8,8,1,1,16,6,749,681
1,0,K'Sante,Tank-Warrior,Vi,Warrior,Corki,Marksman,Kalista,Marksman,Maokai,Tank,Aatrox,Warrior,Rell,Tank-Support,Azir,Mage,Draven,Marksman,Alistar,Tank-Support,49893,34368,1,0,2,0,0,1,9,9,2,2,23,2,750,643
1,0,Aatrox,Warrior,Rell,Tank-Support,Azir,Mage,Senna,Marksman-Support,Tahm Kench,Tank-Support,Yone,Warrior,Viego,Warrior,Neeko,Mage,Varus,Marksman,Rakan,Support,44581,34372,1,0,2,1,1,0,10,10,2,2,12,4,712,673
