t1_totalgold,t2_totalgold,t1_barons,t2_barons,t1_dragons,t2_dragons,t1_heralds,t2_heralds,t1_towers,t2_towers,t1_inhibitors,t2_inhibitors,t1_kills,t2_kills,t1_totalcs,t2_totalcs
51091,30710,1,0,2,1,0,0,10,0,2,0,21,3,786,588
49451,32225,1,0,3,0,1,0,9,9,1,1,15,3,826,646
50055,32273,0,0,3,0,1,0,10,10,2,2,21,2,817,675
51601,32965,1,0,1,1,1,0,10,10,2,2,26,7,734,571
47569,33183,0,0,2,1,1,0,9,9,2,2,20,3,808,676
46837,33380,1,0,1,1,1,0,10,10,1,1,12,1,774,661
46246,33847,0,0,3,0,1,0,10,10,2,2,20,5,739,670
50761,34010,1,0,1,2,0,0,9,0,2,0,21,2,855,718
47164,34356,1,0,1,2,1,0,8,8,1,1,16,6,749,681
49893,34368,1,0,2,0,0,1,9,9,2,2,23,2,750,643
44581,34372,1,0,2,1,1,0,10,10,2,2,12,4,712,673
44796,34528,0,0,3,0,0,0,7,7,1,1,23,6,694,628
51606,34655,1,0,3,0,1,0,10,10,2,2,21,3,768,674
49988,34802,0,0,1,0,1,0,10,10,2,2,32,6,701,637
52117,35234,1,0,3,0,1,0,10,1,2,0,25,5,742,657
47973,35347,1,0,2,1,0,0,9,9,2,2,12,1,831,787
53636,35546,1,0,0,2,1,0,10,10,1,1,24,6,854,656
55129,35664,1,0,3,0,1,0,11,11,3,3,20,5,940,657
50507,35702,1,0,3,0,1,0,11,0,2,0,18,5,764,694
46698,35829,1,0,3,0,1,0,10,2,2,0,15,5,730,679
45676,35837,1,0,1,2,0,0,8,8,1,1,14,6,755,722
52535,35867,1,0,3,0,1,0,11,11,3,3,18,6,812,673
48215,35885,1,0,1,0,1,0,11,11,3,3,15,0,780,758
51530,36002,1,0,1,2,1,0,10,10,2,2,19,3,826,717
47946,36208,1,0,2,1,1,0,10,1,2,0,11,1,819,764
48235,36524,0,0,2,0,1,0,9,9,1,1,19,5,825,708
47887,36563,1,0,2,1,0,0,7,7,1,1,17,3,812,766
51929,36727,1,0,3,0,1,0,11,11,2,2,16,7,880,728
52883,36730,1,0,3,0,1,0,10,10,2,2,25,4,821,704
48884,37040,1,0,3,0,1,0,8,8,1,1,15,7,852,702
49212,37099,1,0,3,0,0,0,10,10,2,2,17,3,725,751
49933,37225,1,0,1,2,1,0,9,9,1,1,17,6,805,708
54828,37343,1,0,1,2,1,0,11,0,3,0,20,5,859,799
51259,37349,1,0,1,1,0,1,11,11,3,3,16,7,833,703
48260,37526,0,0,2,2,1,0,9,0,1,0,13,5,850,768
49658,37641,1,0,2,0,0,1,9,1,2,0,18,4,779,754
53582,37653,1,0,4,0,0,0,10,10,2,2,25,3,847,768
49344,37849,1,0,3,0,1,0,8,1,1,0,21,8,790,700
47820,37907,1,0,2,1,1,0,8,8,1,1,16,2,812,812
51271,38107,1,0,3,1,1,0,10,10,2,2,16,9,844,685
52350,38187,1,0,4,0,0,1,8,8,1,1,17,5,890,774
48526,38211,1,0,2,1,1,0,7,3,1,0,17,6,854,719
54214,38275,1,0,1,2,0,1,10,10,2,2,23,5,842,725
47721,38387,1,0,3,0,1,0,8,8,1,1,16,3,797,811
49986,38405,1,0,2,1,1,0,8,8,1,1,18,4,836,751
46243,38432,1,0,2,1,1,0,11,11,2,2,9,6,778,709
47709,38452,0,0,0,2,1,0,8,8,1,1,11,4,844,817
52635,38460,1,0,4,0,1,0,11,0,3,0,20,7,839,709
52655,38679,1,0,2,1,1,0,8,8,1,1,20,4,818,803
52774,38772,1,0,2,1,1,0,8,1,1,0,20,7,899,756
48653,38807,0,0,2,1,1,0,9,9,1,1,11,7,867,732
54713,38844,1,0,4,0,1,0,10,10,2,2,16,1,894,830
54402,38860,1,0,2,1,1,0,9,1,1,0,29,9,761,717
52996,38870,1,0,4,0,0,0,11,11,2,2,15,6,839,733
54858,38984,1,0,4,0,1,0,10,10,2,2,21,5,875,726
52985,38988,1,0,4,0,1,0,9,9,2,2,16,3,891,810
48160,39274,1,0,1,2,0,0,7,7,1,1,15,4,854,869
52697,39312,1,0,2,1,0,0,11,11,3,3,17,5,874,774
50950,39477,1,0,0,3,1,0,8,1,1,0,22,11,769,693
46475,39513,0,0,3,0,1,0,10,10,2,2,11,11,818,707
53796,39560,1,0,3,0,1,0,9,9,2,2,22,4,890,819
53456,39601,1,0,3,0,1,0,8,3,1,0,30,6,819,733
52669,39935,1,0,0,3,0,1,7,7,1,1,19,6,867,790
50955,39996,0,0,3,1,1,0,7,1,1,0,11,0,947,858
54038,39997,1,0,2,0,1,0,10,10,2,2,17,4,925,807
52929,40003,1,0,3,0,1,0,10,10,2,2,21,6,838,771
51140,40210,1,0,1,3,1,0,10,10,1,1,19,8,797,769
54130,40333,1,0,2,0,1,0,9,9,2,2,28,11,806,643
54324,40431,1,0,3,0,1,0,10,10,2,2,26,10,846,670
57551,40506,1,0,4,0,1,0,11,11,3,3,20,2,983,833
56067,40506,1,0,4,0,1,0,10,1,2,0,22,5,869,817
51626,40542,1,0,2,1,1,0,9,1,2,0,11,3,979,867
56979,40549,1,0,2,1,0,0,10,1,2,0,17,3,985,879
57094,40577,1,0,2,1,1,0,9,9,2,2,22,6,914,798
53513,40584,1,0,4,0,1,0,9,1,2,0,22,11,866,766
58298,40792,1,0,2,1,1,0,11,0,3,0,21,5,948,804
56777,40816,1,0,3,0,1,0,11,11,2,2,23,6,929,810
53658,40869,1,0,1,2,0,1,11,11,3,3,12,5,954,824
55073,40916,1,0,1,2,0,0,9,9,1,1,23,8,856,755
55578,40935,1,0,4,0,0,1,8,8,1,1,23,3,851,747
53928,40953,1,0,4,0,0,1,10,10,1,1,17,4,921,818
56516,41166,1,0,2,1,0,0,11,11,3,3,16,6,884,793
56248,41203,1,0,3,1,1,0,9,9,1,1,27,10,865,751
53985,41243,1,0,1,2,1,0,10,10,2,2,24,9,787,793
52711,41375,1,0,1,3,0,1,10,2,2,0,17,6,867,807
51689,41429,0,0,3,1,1,0,8,8,1,1,17,3,910,870
